DistanceFromVenue,Availability,InterestLevel,RelationshipWithHost,SocialCircleAttendance,MaritalStatus,PersonalInvitation,WeatherForecast,PreviousAttendance,TransportationAvailability,WillAttend
39,1,7,6,54,1,1,0,1,1,1
29,0,2,5,18,1,0,0,1,1,1
15,1,1,9,16,1,1,0,1,1,1
43,0,9,4,87,0,1,0,1,0,1
8,1,1,5,91,0,0,1,0,1,1
21,1,6,1,41,0,1,0,1,0,1
39,0,2,2,100,0,1,1,0,1,1
19,1,4,3,21,0,1,1,1,1,1
23,0,6,5,38,1,0,0,0,1,1
11,0,5,5,79,1,1,1,1,1,1
11,0,6,4,98,0,0,0,0,1,1
24,1,3,10,26,1,0,0,1,0,1
36,0,5,3,75,0,0,0,1,1,1
40,0,2,9,45,1,1,1,0,0,1
24,1,7,1,27,1,0,0,1,1,1
3,1,3,6,51,0,0,1,1,1,1
22,1,1,7,64,0,1,0,1,1,1
2,1,8,10,38,1,0,0,0,1,1
24,1,8,4,17,1,0,0,0,1,1
44,1,3,10,86,1,0,1,0,1,1
30,0,7,3,21,1,1,0,0,0,1
38,1,9,8,67,0,0,1,1,1,1
2,0,8,9,10,1,0,0,0,1,1
21,1,3,1,81,0,1,1,1,0,1
33,0,2,10,63,1,1,0,1,1,1
12,0,10,9,70,0,0,0,1,1,1
22,1,7,7,84,0,1,1,1,1,1
44,1,7,1,56,0,0,0,0,0,1
25,0,9,7,34,1,1,0,1,0,1
49,1,5,5,36,1,0,0,1,1,1
27,1,4,10,49,0,1,1,1,1,1
42,0,8,7,29,1,0,1,0,1,1
28,0,4,9,16,0,0,1,1,1,1
16,0,4,8,32,0,1,1,1,0,1
15,1,2,6,15,0,1,0,1,1,1
47,1,1,2,14,0,1,0,1,0,1
44,1,4,8,12,0,1,1,1,0,1
3,1,7,4,2,1,1,0,0,0,1
37,0,9,8,23,0,0,1,0,0,1
7,1,9,7,22,1,0,0,1,0,1
21,0,10,4,58,1,1,1,1,1,1
9,1,1,8,54,1,0,1,1,1,1
39,1,5,2,64,0,0,1,0,1,1
18,0,7,9,31,1,1,0,1,1,1
4,1,7,6,96,1,0,1,1,0,1
25,1,10,7,59,1,1,1,1,1,1
14,0,6,10,29,1,0,0,1,1,1
50,1,10,1,65,0,0,0,1,1,1
9,0,4,3,17,1,1,0,1,0,1
26,0,3,10,58,1,0,1,0,1,1
2,0,9,5,52,0,1,0,1,1,1
20,0,10,7,63,1,0,1,1,1,1
28,1,4,1,29,1,0,0,1,0,1
47,1,8,9,17,1,0,1,0,0,1
7,1,1,5,4,1,1,1,1,1,1
44,0,7,3,68,1,1,1,0,1,1
8,1,6,7,7,0,0,0,0,1,1
47,1,1,10,8,1,1,1,0,0,1
35,1,4,8,31,1,1,1,1,1,1
14,1,5,10,13,0,1,1,1,0,1
17,0,8,10,12,1,0,0,0,1,1
36,0,4,3,17,1,1,0,1,0,1
50,1,3,7,67,1,1,0,1,1,1
40,0,2,7,21,0,1,1,1,0,1
4,1,4,4,19,1,1,1,0,0,1
2,1,10,10,14,1,1,0,0,0,1
6,1,4,9,6,1,1,1,1,1,1
42,0,10,1,76,1,1,0,1,0,1
4,1,5,1,97,1,1,0,1,1,1
29,0,7,5,29,0,1,0,0,1,1
18,0,9,3,4,1,1,0,1,0,1
26,1,2,10,0,0,0,0,0,0,1
44,0,5,9,59,1,0,0,0,0,1
34,0,10,5,30,1,0,0,0,1,1
10,1,9,7,19,1,0,1,1,1,1
36,0,3,1,82,0,0,1,1,0,1
14,0,1,2,63,0,1,0,0,1,1
31,1,2,4,63,1,1,1,1,0,1
48,1,6,9,28,1,1,0,1,0,1
15,0,5,5,9,0,1,1,1,1,1
8,1,1,5,28,0,0,0,0,0,1
14,1,1,9,30,0,0,1,1,0,1
23,0,4,8,74,1,1,0,1,1,1
40,0,4,2,86,0,1,1,0,1,1
21,1,6,7,29,0,0,0,0,0,1
16,0,6,1,24,0,1,0,0,1,1
45,1,10,10,79,0,1,1,1,0,1
18,1,6,9,57,1,0,0,1,1,1
47,0,1,3,56,0,1,0,1,0,1
24,0,10,2,86,0,1,0,0,1,1
26,1,9,4,62,1,1,1,1,1,1
25,1,7,4,96,0,0,1,0,1,1
45,1,7,3,36,1,0,1,1,0,1
41,1,7,2,57,0,0,1,1,1,1
29,0,2,5,27,1,0,1,1,0,1
15,1,2,4,26,0,0,0,1,0,1
45,0,6,5,69,1,0,0,1,0,1
1,0,7,8,36,1,0,1,0,0,1
25,1,3,2,5,1,1,1,1,1,1
7,0,4,9,88,1,0,1,1,0,1
9,0,3,10,76,1,1,0,0,1,1
24,1,7,1,61,1,0,0,1,0,1
1,0,7,8,96,0,1,1,0,1,1
44,0,4,5,32,1,1,1,1,1,1
8,1,7,2,88,1,0,1,0,0,1
24,1,5,8,77,1,1,0,0,1,1
11,1,1,5,39,1,0,1,0,0,1
17,1,10,10,40,0,1,1,1,1,1
8,1,4,10,41,1,1,0,0,0,1
35,1,7,3,8,0,1,1,1,0,1
35,1,2,7,17,1,0,1,1,0,1
33,0,2,4,14,0,1,1,0,1,1
5,0,1,10,3,0,1,0,0,1,1
42,1,2,6,33,0,0,0,1,1,1
39,0,10,10,61,1,0,0,0,1,1
41,0,8,8,37,0,1,0,0,0,1
28,1,8,1,80,1,0,1,1,1,1
7,0,8,2,70,1,0,0,0,1,1
9,1,1,8,95,1,0,0,0,1,1
8,0,1,7,22,0,0,0,0,1,1
12,1,10,10,19,0,1,0,0,0,1
34,0,4,9,55,1,0,1,1,1,1
33,0,6,2,52,0,1,0,0,1,1
48,0,8,8,1,1,0,0,1,0,1
23,1,2,6,20,0,0,0,1,1,1
24,0,3,1,75,1,0,0,1,0,1
37,0,6,4,41,1,1,0,0,1,1
35,1,10,2,56,0,1,1,1,1,1
44,1,4,7,48,0,1,0,1,1,1
40,0,2,9,90,1,1,0,0,0,1
22,0,7,6,9,0,0,1,1,0,1
27,0,4,4,71,0,1,0,0,0,1
35,0,8,5,60,0,0,1,0,1,1
1,1,8,1,20,0,1,1,1,1,1
35,0,7,4,59,0,0,1,0,0,1
37,0,10,10,85,1,1,1,1,1,1
47,1,9,3,12,0,0,1,0,0,1
14,0,4,9,47,0,0,1,1,0,1
3,0,7,6,39,0,1,0,1,1,1
1,0,10,4,62,0,1,1,0,1,1
5,1,10,3,75,1,0,0,1,0,1
26,1,1,4,80,0,0,1,1,0,1
14,0,4,8,8,1,1,0,0,1,1
39,0,2,5,56,0,0,1,0,1,1
27,1,9,1,50,1,1,0,0,0,1
9,0,5,5,39,0,0,1,1,1,1
15,0,3,8,75,0,1,0,0,0,1
15,1,4,4,72,0,1,0,1,1,1
26,1,6,2,63,0,1,0,0,0,1
42,1,10,3,93,1,0,1,1,1,1
13,0,1,9,69,0,1,0,0,1,1
32,0,7,7,63,1,1,1,1,1,1
39,0,8,3,24,1,1,0,0,1,1
49,0,7,5,27,0,1,1,0,1,1
32,1,7,3,9,1,1,1,0,0,1
4,0,9,10,27,1,0,0,0,1,1
30,0,4,4,92,0,0,0,0,1,1
37,1,7,8,35,0,0,1,0,0,1
23,1,9,3,10,0,1,1,1,1,1
39,0,5,3,20,0,0,1,0,0,1
45,1,2,8,25,0,1,0,0,1,1
15,1,5,10,17,0,0,0,0,1,1
43,0,4,10,67,0,0,0,0,0,1
29,0,8,7,40,1,0,0,1,0,1
36,0,5,7,14,1,0,0,0,1,1
13,0,9,10,22,0,1,0,1,1,1
32,1,9,2,40,1,0,0,1,0,1
7,1,3,7,5,1,0,1,0,0,1
22,0,10,10,70,1,1,1,1,1,1
28,0,6,10,59,0,0,0,1,1,1
2,1,6,3,78,1,0,0,0,0,1
42,0,4,7,51,0,1,0,0,0,1
45,0,10,4,8,1,0,1,1,1,1
6,0,3,8,29,0,0,1,1,0,1
28,0,1,8,43,1,1,0,1,1,1
28,1,7,6,61,1,1,1,1,1,1
44,0,5,3,42,0,0,0,1,0,1
44,1,10,6,27,1,0,1,0,1,1
20,0,7,6,93,0,0,0,0,0,1
30,0,1,3,7,0,1,1,0,1,1
11,1,8,4,98,0,1,0,1,0,1
28,0,3,2,50,1,0,1,1,0,1
25,1,7,1,98,1,1,1,1,0,1
39,0,3,2,89,0,1,0,1,1,1
33,0,3,7,29,0,0,0,0,0,1
1,0,10,10,98,0,1,0,0,1,1
27,0,9,5,10,1,1,1,1,1,1
13,0,2,9,19,1,1,0,0,1,1
41,1,4,3,30,0,1,0,0,0,1
3,1,6,2,33,1,0,0,1,1,1
39,0,3,4,11,1,1,0,1,1,1
6,0,10,2,47,0,0,1,1,1,1
8,1,10,7,27,0,0,0,0,1,1
27,1,7,10,66,1,0,0,0,1,1
9,0,7,6,62,0,0,1,1,0,1
37,0,5,8,47,0,1,0,0,0,1
33,1,3,5,41,1,0,0,1,1,1
42,0,2,2,51,0,0,0,0,0,1
44,1,4,4,4,0,1,0,0,0,1
24,0,4,1,76,1,1,0,0,1,1
15,1,8,2,11,0,1,0,1,0,1
32,1,8,4,58,1,0,0,1,0,1
32,0,5,6,64,0,0,1,1,0,1
24,1,6,4,51,1,1,1,0,0,1
41,0,8,4,42,1,1,0,1,1,1
49,0,1,10,82,0,0,0,0,0,1
49,0,5,10,92,0,1,1,0,0,1
12,0,4,2,62,0,1,0,1,1,1
39,1,4,9,49,1,0,1,0,0,1
2,0,2,10,38,1,1,1,0,1,1
3,0,10,8,41,0,1,0,0,0,1
49,0,1,8,88,0,1,1,0,0,1
37,0,6,5,79,1,1,1,0,0,1
49,1,7,3,16,0,1,0,1,0,1
17,0,5,6,91,1,1,0,1,1,1
49,1,8,9,42,0,0,0,1,1,1
2,1,9,8,48,0,0,0,0,0,1
2,1,2,7,4,0,1,0,1,1,1
28,0,4,8,0,1,0,0,0,1,1
23,0,9,4,66,0,1,0,0,0,1
37,0,5,6,23,1,0,0,0,1,1
32,0,3,5,28,1,1,0,0,1,1
33,1,6,2,14,0,0,0,1,1,1
1,1,3,8,3,0,1,0,0,0,1
19,0,5,3,43,1,1,1,1,0,1
2,0,3,5,64,0,1,1,1,0,1
44,0,6,8,78,0,0,1,1,0,1
26,0,10,9,87,1,0,0,1,0,1
32,0,5,9,30,0,0,0,0,0,1
6,0,9,5,19,1,1,1,0,0,1
32,0,3,2,9,1,0,1,0,0,1
4,1,6,7,10,1,0,1,0,1,1
11,1,8,7,81,1,1,1,1,1,1
17,1,7,8,97,1,1,1,0,0,1
38,1,6,8,27,0,0,1,0,0,1
24,0,2,5,37,1,1,0,0,0,1
5,0,7,1,79,1,0,1,0,1,1
34,0,8,4,23,0,1,1,1,0,1
6,0,1,4,38,1,1,0,0,1,1
22,0,9,3,50,1,0,0,0,0,1
11,1,4,8,75,0,1,1,1,0,1
48,0,8,3,49,0,1,0,0,1,1
16,1,10,5,6,0,1,1,0,1,1
33,0,7,2,99,1,1,1,0,1,1
9,1,10,6,80,1,1,0,0,1,1
6,0,7,6,67,1,1,0,1,0,1
16,1,2,8,52,0,1,0,1,1,1
29,0,1,8,36,1,1,1,0,0,1
3,0,4,1,96,1,1,1,0,0,1
20,0,2,5,82,1,1,0,1,1,1
36,0,8,2,53,0,1,1,0,0,1
19,1,10,10,89,0,1,1,0,0,1
26,0,7,5,54,0,0,0,0,0,1
3,1,8,10,74,0,1,0,1,1,1
19,0,6,9,30,1,1,1,1,1,1
20,1,1,4,64,1,1,1,1,1,1
32,0,9,8,99,1,0,0,1,0,1
7,0,6,1,92,0,0,0,1,0,1
41,1,10,8,88,1,0,0,1,1,1
33,0,1,6,58,1,0,0,0,1,1
40,0,1,8,46,1,1,0,0,1,1
39,1,8,6,48,1,1,1,1,1,1
18,0,6,3,17,0,1,0,1,0,1
40,1,8,8,2,1,0,1,0,0,1
1,0,8,5,17,0,1,1,1,0,1
11,1,8,10,57,1,0,1,1,0,1
28,1,10,5,70,0,0,1,1,1,1
25,1,7,7,91,0,0,0,0,1,1
50,1,7,6,80,0,1,1,1,0,1
23,0,10,9,24,1,1,1,0,1,1
31,0,4,7,17,0,1,0,0,0,1
30,1,9,3,51,0,1,1,0,1,1
42,0,2,5,42,1,0,0,0,1,1
35,0,9,9,66,1,1,0,0,0,1
7,0,10,10,88,1,1,0,0,0,1
16,1,3,2,6,1,1,1,1,0,1
26,0,2,1,73,0,0,1,1,0,1
48,0,4,8,43,0,0,1,0,0,1
49,1,5,8,43,1,1,1,1,1,1
2,0,2,2,50,0,1,1,1,1,1
1,1,1,8,82,0,0,0,1,1,1
48,1,10,5,78,0,0,0,1,0,1
12,1,5,2,84,0,1,1,1,0,1
5,0,9,7,20,0,0,1,1,0,1
37,0,5,7,36,1,0,1,1,1,1
32,1,10,3,27,1,0,1,0,1,1
9,1,9,1,31,1,0,0,1,1,1
41,1,10,4,56,1,0,1,1,1,1
35,1,6,2,40,1,0,1,0,1,1
19,1,3,4,53,1,0,1,0,0,1
48,1,4,8,26,1,1,1,0,1,1
16,0,4,2,86,0,0,1,1,0,1
3,1,1,1,73,1,1,0,0,0,1
20,1,3,3,39,0,1,0,0,1,1
24,1,3,10,40,0,1,0,0,1,1
33,0,1,7,69,0,1,1,0,1,1
24,0,9,6,23,0,1,1,1,1,1
11,0,1,6,17,0,1,0,1,0,1
49,0,9,7,73,1,0,0,1,0,1
8,1,1,8,55,0,0,1,0,0,1
36,0,2,3,14,1,1,1,1,1,1
38,1,2,3,97,1,1,0,1,0,1
40,1,6,10,71,1,0,0,1,0,1
20,1,7,8,34,0,0,0,1,0,1
35,1,1,7,26,0,1,0,1,0,1
48,1,3,10,88,1,1,1,1,0,1
25,1,2,5,2,1,1,0,1,0,1
35,0,8,4,20,1,0,0,0,0,1
25,0,9,6,38,1,0,1,0,0,1
29,0,2,9,31,1,0,0,1,1,1
18,0,2,6,49,0,1,1,1,0,1
46,0,10,8,84,1,0,0,0,1,1
18,1,9,1,8,1,1,0,1,1,1
2,0,4,6,49,1,1,1,1,0,1
35,0,5,2,0,1,0,0,1,0,1
16,0,9,3,3,0,0,1,0,0,1
41,1,6,6,3,1,0,1,0,1,1
36,1,10,2,89,1,1,0,0,0,1
33,1,9,4,33,0,0,1,1,0,1
4,0,9,6,26,1,1,1,0,1,1
33,0,7,5,14,0,0,1,1,0,1
14,0,10,6,31,0,1,0,0,0,1
21,0,9,6,40,1,0,1,0,1,1
